"Statistic","Year","County","UNIT","VALUE"
"New House Registrations","2000","Tipperary","Number","1024"
"New House Registrations","2000","Waterford","Number","1121"
"New House Registrations","2000","Galway","Number","1831"
"New House Registrations","2000","Leitrim","Number","259"
"New House Registrations","2000","Mayo","Number","903"
"New House Registrations","2000","Roscommon","Number","254"
"New House Registrations","2000","Sligo","Number","369"
"New House Registrations","2000","Cavan","Number","270"
"New House Registrations","2000","Donegal","Number","850"
"New House Registrations","2000","Monaghan","Number","205"
"New House Registrations","2001","All Counties","Number","28845"
"New House Registrations","2001","Carlow","Number","305"
"New House Registrations","2001","Dublin","Number","8724"
"New House Registrations","2001","Kildare","Number","1933"
