"Statistic","Year","County","UNIT","VALUE"
"All Births","2002","Fingal","Number","3909"
"All Births","2002","Dun Laoghaire Rathdown","Number","2261"
"All Births","2002","South Dublin","Number","4453"
"All Births","2002","Wicklow","Number","1905"
"All Births","2002","Carlow","Number","851"
"All Births","2002","Kildare","Number","3277"
"All Births","2002","Kilkenny","Number","1106"
"All Births","2002","Laois","Number","935"
"All Births","2002","Longford","Number","545"
"All Births","2002","Louth","Number","1683"
"All Births","2002","Meath","Number","2347"
"All Births","2002","Offaly","Number","1020"
"All Births","2002","Westmeath","Number","1206"
"All Births","2002","Wexford","Number","1852"
"All Births","2002","Waterford County","Number","891"
"All Births","2002","Waterford City","Number","783"
"All Births","2002","Clare","Number","1754"
"All Births","2002","Cork City","Number","1574"
"All Births","2002","Cork County","Number","5134"
"All Births","2002","Kerry","Number","1746"
"All Births","2002","Limerick City","Number","848"
"All Births","2002","Limerick County","Number","1689"
"All Births","2002","North Tipperary","Number","919"
"All Births","2002","South Tipperary","Number","1024"
"All Births","2002","Tipperary","Number",""
"All Births","2002","Galway City","Number","1057"
"All Births","2002","Leitrim","Number","355"
"All Births","2002","Mayo","Number","1537"
"All Births","2002","Roscommon","Number","609"
"All Births","2002","Sligo","Number","757"
"All Births","2002","Galway County","Number","2117"
"All Births","2002","Cavan","Number","807"
"All Births","2002","Donegal","Number","1911"
"All Births","2002","Monaghan","Number","665"
"All Births","2002","Outside the State","Number",""
"All Births","2003","State","Number","61529"
"All Births","2003","Dublin City","Number","6834"
"All Births","2003","Fingal","Number","4334"
"All Births","2003","Dun Laoghaire Rathdown","Number","2400"
"All Births","2003","South Dublin","Number","4525"
"All Births","2003","Wicklow","Number","1911"
"All Births","2003","Carlow","Number","848"
"All Births","2003","Kildare","Number","3272"
"All Births","2003","Kilkenny","Number","1138"
"All Births","2003","Laois","Number","986"
"All Births","2003","Longford","Number","514"
"All Births","2003","Louth","Number","1608"
"All Births","2003","Meath","Number","2614"
"All Births","2003","Offaly","Number","981"
"All Births","2003","Westmeath","Number","1228"
"All Births","2003","Wexford","Number","2008"
"All Births","2003","Waterford County","Number","905"
"All Births","2003","Waterford City","Number","710"
"All Births","2003","Clare","Number","1689"
"All Births","2003","Cork City","Number","1676"
"All Births","2003","Cork County","Number","5018"
"All Births","2003","Kerry","Number","1689"
"All Births","2003","Limerick City","Number","948"
"All Births","2003","Limerick County","Number","1682"
"All Births","2003","North Tipperary","Number","939"
"All Births","2003","South Tipperary","Number","1069"
